variavel,shap_absoluto_medio
status,0.1054163742415962
complains,0.0629343709925955
frequency_of_use,0.04738897647220833
seconds_of_use,0.032940090640674616
subscription_length,0.03250125066980279
call_failure,0.023042747527158326
customer_value,0.019389968313547272
distinct_called_numbers,0.014763549968548704
frequency_of_sms,0.01435829465572499
age,0.011180262924739514
charge_amount,0.006857798235398907
tariff_plan,0.0008137140601432882
