mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_prep,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_ap,split1_test_ap,split2_test_ap,split3_test_ap,split4_test_ap,mean_test_ap,std_test_ap,rank_test_ap,split0_train_ap,split1_train_ap,split2_train_ap,split3_train_ap,split4_train_ap,mean_train_ap,std_train_ap,experimento,param_model__C,param_model__gamma,param_model__n_neighbors,param_model__weights
0.3917701721191406,0.014971990492752654,0.03202657699584961,0.001720655903616661,,1.0,"ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)","{'model__max_depth': None, 'model__min_samples_leaf': 1, 'prep': ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}",0.881578947368421,0.84,0.8050314465408805,0.8531468531468531,0.8387096774193549,0.8436933848951019,0.024730175152632584,1,0.9698890649762282,0.9669291338582677,0.9746031746031746,0.9749216300940439,0.9746031746031746,0.9721892356269777,0.0032273716217694533,0.9178082191780822,0.8873239436619719,0.8,0.9384615384615385,0.8666666666666667,0.8820520735936519,0.047869772957641096,1,0.9714285714285714,0.9623824451410659,0.9777070063694268,0.9688473520249221,0.9746031746031746,0.9709937099134323,0.005235387709717062,0.8481012658227848,0.7974683544303798,0.810126582278481,0.782051282051282,0.8125,0.8100494969165855,0.021891245767692375,1,0.9683544303797469,0.9715189873417721,0.9715189873417721,0.9810725552050473,0.9746031746031746,0.9734136269743026,0.004309268941751678,0.9909028338869437,0.9768875651526433,0.9713179448994788,0.9855164489598451,0.9837205882352941,0.981669076226841,0.006845173875103112,2,0.9995455256628992,0.999393009256842,0.9996689989035006,0.9995987114177749,0.9996165034467922,0.9995645497375618,9.440750871135003e-05,0.9487978211978961,0.931776256949587,0.852696494945044,0.945199336715008,0.9269201272034043,0.921078007402188,0.035142113646629086,2,0.9972769023513357,0.9963982599701384,0.9979773358052703,0.997641005384939,0.9976326633530302,0.9973852333729427,0.0005409396113468616,Random Forest | Sem balanceamento,,,,
0.3796547412872314,0.016647929945603396,0.029855775833129882,0.00029743622764165877,,3.0,"ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)","{'model__max_depth': None, 'model__min_samples_leaf': 3, 'prep': ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}",0.8456375838926175,0.8344370860927153,0.7898089171974523,0.782608695652174,0.8129032258064516,0.8130791017282821,0.024438479182790386,3,0.9305331179321487,0.9297124600638977,0.935064935064935,0.9318541996830428,0.9371980676328503,0.932872556075375,0.0028288797513240913,0.9,0.875,0.7948717948717948,0.9,0.84,0.8619743589743589,0.04011780810668354,2,0.9504950495049505,0.9387096774193548,0.96,0.9363057324840764,0.9509803921568627,0.9472981703130487,0.00871448416465188,0.7974683544303798,0.7974683544303798,0.7848101265822784,0.6923076923076923,0.7875,0.7719109055501462,0.040130905083382705,4,0.9113924050632911,0.9208860759493671,0.9113924050632911,0.9274447949526814,0.9238095238095239,0.9189850409676309,0.0065383980627187486,0.9895562139031032,0.9844676098287416,0.9674906924795235,0.9847000483792936,0.9824705882352942,0.9817370305651913,0.007494950586356318,1,0.9975786203351189,0.9972037400326713,0.9978806605849488,0.9973228849676554,0.9976335456594737,0.9975238903159737,0.00023883217879066646,0.944454113635666,0.9385673163195989,0.8654460659166383,0.9324009248227335,0.9256911800730383,0.9213119201535349,0.028623233317102596,1,0.987137153050773,0.9844570419437055,0.9886826268594837,0.9852087465186805,0.9868076088506293,0.9864586354446544,0.0014897587229775193,Random Forest | Sem balanceamento,,,,
0.37811784744262694,0.01338562817653834,0.0313662052154541,0.0011400371584528212,10,1.0,"ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)","{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'prep': ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}",0.821917808219178,0.8243243243243243,0.7898089171974523,0.8053691275167785,0.8205128205128205,0.8123865995541106,0.013102559542082653,4,0.940032414910859,0.944,0.9528301886792453,0.9439252336448598,0.9435736677115988,0.9448723009893125,0.004244920910897207,0.8955223880597015,0.8840579710144928,0.7948717948717948,0.8450704225352113,0.8421052631578947,0.852325567927819,0.03558353124070881,4,0.9634551495016611,0.9546925566343042,0.946875,0.9323076923076923,0.9318885448916409,0.9458437886670596,0.012389502453926837,0.759493670886076,0.7721518987341772,0.7848101265822784,0.7692307692307693,0.8,0.7771372930866601,0.014001717194310474,3,0.9177215189873418,0.9335443037974683,0.9588607594936709,0.9558359621451105,0.9555555555555556,0.9443036199958295,0.016086530133808757,0.9887482419127989,0.9781533879374535,0.9709456440804171,0.9849419448476052,0.9824411764705882,0.9810460790497725,0.006112836139441971,3,0.9984242406180851,0.9982983746447566,0.9987552493976712,0.9982034904675383,0.9984996866552553,0.9984362083566614,0.00018926999501401448,0.9411973542716101,0.9314230351783059,0.8739126569960961,0.9307412633723031,0.9259465797302399,0.920644177909711,0.02388521915070043,3,0.9913287495132231,0.9906392103475876,0.9931103633895892,0.9900134707071124,0.9916151173688171,0.9913413822652659,0.0010450626028909692,Random Forest | Sem balanceamento,,,,
0.37268795967102053,0.009821834935365368,0.03210458755493164,0.003731323874004091,10,3.0,"ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)","{'model__max_depth': 10, 'model__min_samples_leaf': 3, 'prep': ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}",0.8413793103448276,0.84,0.7898089171974523,0.7945205479452054,0.8205128205128205,0.8172443192000612,0.02181775868482338,2,0.9057851239669421,0.9029126213592233,0.9233226837060703,0.9006410256410257,0.9154704944178629,0.9096263898182249,0.008512447409434628,0.9242424242424242,0.8873239436619719,0.7948717948717948,0.8529411764705882,0.8421052631578947,0.8602969204809348,0.04355451264889869,3,0.9480968858131488,0.9238410596026491,0.932258064516129,0.9153094462540716,0.9198717948717948,0.9278754502115587,0.01154428887177074,0.7721518987341772,0.7974683544303798,0.7848101265822784,0.7435897435897436,0.8,0.7796040246673158,0.020565972903131356,2,0.8670886075949367,0.8829113924050633,0.9145569620253164,0.886435331230284,0.9111111111111111,0.8924206808733424,0.01792937277105511,0.9861747014992369,0.9834847356664185,0.9682650781831721,0.9822206095791002,0.9822647058823529,0.9804819661620561,0.006274986120240764,4,0.9961313803354169,0.9957771719266315,0.9968867248979958,0.9960651425131812,0.9964643488509133,0.9962649537048277,0.00038001454219524993,0.9332746014158276,0.9314221155225184,0.8726184503955629,0.9205656555109242,0.9243997183073964,0.9164561082304459,0.02239898502899852,4,0.9800384393877111,0.977600112906629,0.9837936404597563,0.9786022573995533,0.9809821349147275,0.9802033170136755,0.0021384212827661913,Random Forest | Sem balanceamento,,,,
0.6462907314300537,0.012583251384511872,0.03486175537109375,0.0018985157971903477,,1.0,"ColumnTransformer(transformers=[('numeric', StandardScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)","{'model__max_depth': None, 'model__min_samples_leaf': 1, 'prep': ColumnTransformer(transformers=[('numeric', StandardScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}",0.9202453987730062,0.8727272727272727,0.8323699421965318,0.8765432098765432,0.8414634146341463,0.8686698476415,0.030972126623874965,1,0.9688473520249221,0.9659442724458205,0.973561430793157,0.9750778816199377,0.973561430793157,0.9713984735353989,0.003439515737342175,0.8928571428571429,0.8372093023255814,0.7659574468085106,0.8452380952380952,0.8214285714285714,0.8325381117315803,0.040933853827608474,1,0.9539877300613497,0.9454545454545454,0.9571865443425076,0.963076923076923,0.9542682926829268,0.9547948071236505,0.005700577698368017,0.9493670886075949,0.9113924050632911,0.9113924050632911,0.9102564102564102,0.8625,0.9089816617981175,0.027585416190122294,4,0.9841772151898734,0.9873417721518988,0.990506329113924,0.9873817034700315,0.9936507936507937,0.9886115627153043,0.003217836165528717,0.9883891432504414,0.9844825018615041,0.973596425912137,0.9838987663280115,0.9761617647058825,0.9813057204115954,0.005529633054746527,1,0.9989904709397188,0.9987627085773108,0.9993874148721124,0.998965195646762,0.9991899804510294,0.9990591540973867,0.00021274218387289524,0.9074471216588575,0.9388361837712602,0.859285419832442,0.9369666745595002,0.8162660475336182,0.8917602894711356,0.04745488700812662,4,0.9941517945579645,0.9927912605427119,0.9964063063808635,0.9938479420378432,0.9952948247549299,0.9944984256548626,0.001243539719086238,Random Forest | SMOTENC,,,,
0.6289236068725585,0.025476615053046714,0.035571718215942384,0.0012517985584730752,,3.0,"ColumnTransformer(transformers=[('numeric', StandardScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)","{'model__max_depth': None, 'model__min_samples_leaf': 3, 'prep': ColumnTransformer(transformers=[('numeric', StandardScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}",0.9156626506024096,0.8705882352941177,0.8228571428571428,0.8674698795180723,0.8170731707317073,0.85873021580069,0.036001342327596074,2,0.9319213313161876,0.9345509893455098,0.9372128637059725,0.9418960244648318,0.9382716049382716,0.9367705627541547,0.003381143805679548,0.8735632183908046,0.8131868131868132,0.75,0.8181818181818182,0.7976190476190477,0.8105101794756967,0.03967207386970689,2,0.8927536231884058,0.9002932551319648,0.9080118694362018,0.913946587537092,0.9129129129129129,0.9055836496413155,0.008026841652508292,0.9620253164556962,0.9367088607594937,0.9113924050632911,0.9230769230769231,0.8375,0.9141407010710809,0.04186517521187544,3,0.9746835443037974,0.9715189873417721,0.9683544303797469,0.9716088328075709,0.9650793650793651,0.9702490319824506,0.0032693031535380597,0.988718317024269,0.9845271779597915,0.9717498138495905,0.9825229801644897,0.9782647058823528,0.9811565989760987,0.005783736372956102,2,0.9966473204640107,0.996248965038825,0.997270872649426,0.9965370281607978,0.9969619590126367,0.9967332290651392,0.00035263713428999903,0.9253939329603253,0.9381722504722623,0.8555928388346079,0.9324207286650403,0.8816507290920184,0.9066460960048509,0.03237565421602452,1,0.9820031794894296,0.9789413150041407,0.9860050683855764,0.9803067671581429,0.9833007564015545,0.9821114172877689,0.0024451205450468543,Random Forest | SMOTENC,,,,
0.5772946834564209,0.009302422709299558,0.03170509338378906,0.001902699624526376,10,1.0,"ColumnTransformer(transformers=[('numeric', StandardScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)","{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'prep': ColumnTransformer(transformers=[('numeric', StandardScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}",0.8888888888888888,0.8409090909090909,0.7891891891891892,0.7912087912087912,0.7865168539325843,0.8193425628257088,0.0401996736649691,3,0.9255952380952381,0.9120234604105572,0.9104258443465492,0.9007194244604316,0.9008746355685131,0.9099277205762579,0.009130853448230843,0.8260869565217391,0.7628865979381443,0.6886792452830188,0.6923076923076923,0.7142857142857143,0.7368492412672618,0.05187431852647832,3,0.8735955056179775,0.8497267759562842,0.8493150684931506,0.828042328042328,0.8328840970350404,0.8467127550289562,0.015989717086449834,0.9620253164556962,0.9367088607594937,0.9240506329113924,0.9230769230769231,0.875,0.9241723466407011,0.02831658860539125,1,0.9841772151898734,0.9841772151898734,0.9810126582278481,0.9873817034700315,0.9809523809523809,0.9835402346060015,0.002393908955734456,0.9867731992698328,0.9806552494415488,0.9684139985107967,0.9783502660861151,0.9759411764705883,0.9780267779557764,0.006004475912813895,3,0.9959078683663509,0.9949585269612048,0.9962750721675631,0.9957418822663887,0.9956262685785372,0.9957019236680088,0.00043147919234906633,0.9146951279220996,0.9216093470043301,0.8551498086746625,0.9019167048505584,0.8905256782797359,0.8967793333462772,0.023392406398620103,2,0.9777398208119639,0.9722403746126596,0.9805348675366602,0.9751334118204681,0.9757767932686419,0.9762850536100787,0.0027612063161113255,Random Forest | SMOTENC,,,,
0.5867129802703858,0.010078688182080384,0.03213062286376953,0.0003964929385608142,10,3.0,"ColumnTransformer(transformers=[('numeric', StandardScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)","{'model__max_depth': 10, 'model__min_samples_leaf': 3, 'prep': ColumnTransformer(transformers=[('numeric', StandardScaler(),
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}",0.8735632183908046,0.8295454545454546,0.7807486631016043,0.7741935483870968,0.7771428571428571,0.8070387483135637,0.03897639540034138,4,0.9069423929098966,0.8927536231884058,0.8856729377713459,0.873758865248227,0.8853410740203193,0.888893778627639,0.010887717909587279,0.8,0.7525773195876289,0.6759259259259259,0.6666666666666666,0.7157894736842105,0.7221918771728864,0.049481222914549684,4,0.850415512465374,0.8235294117647058,0.816,0.7938144329896907,0.8155080213903744,0.8198534757220288,0.018217105097115303,0.9620253164556962,0.9240506329113924,0.9240506329113924,0.9230769230769231,0.85,0.9166407010710808,0.036474608939149,2,0.9715189873417721,0.9746835443037974,0.9683544303797469,0.9716088328075709,0.9682539682539683,0.9708839526173711,0.0023950331052942993,0.9870425232666008,0.9799702159344751,0.9657930007446016,0.9775338655055636,0.9743823529411765,0.9769443916784833,0.006962656327058185,4,0.9932350377362709,0.9917958347940893,0.9935226348806159,0.9922621900695938,0.9925564254379812,0.9926744245837102,0.0006307977371627925,0.9154684359732007,0.9186514035323886,0.8391731060746863,0.9013804020523227,0.8868725093508922,0.8923091713966981,0.02886364733476353,3,0.9656092900688653,0.9571045133325092,0.968655273540226,0.9585978004911879,0.961368775729896,0.9622671306325369,0.0043104997879771,Random Forest | SMOTENC,,,,
0.20100641250610352,0.003333286152164446,0.029542970657348632,0.0009991092339773733,,1.0,"ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)","{'model__max_depth': None, 'model__min_samples_leaf': 1, 'prep': ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}",0.7684729064039408,0.7653061224489796,0.6889952153110048,0.7184466019417476,0.7708333333333334,0.7424108358878013,0.0329811372077236,1,0.8050955414012739,0.7806691449814126,0.8056265984654731,0.8050955414012739,0.8467741935483871,0.808652203959564,0.021310990899993346,0.6290322580645161,0.6410256410256411,0.5538461538461539,0.578125,0.6607142857142857,0.6125486677301193,0.04008378113520116,1,0.673773987206823,0.6415478615071283,0.6759656652360515,0.6752136752136753,0.7342657342657343,0.6801533846858824,0.03000389052444216,0.9873417721518988,0.9493670886075949,0.9113924050632911,0.9487179487179487,0.925,0.9443638429081467,0.025896591407911253,1,1.0,0.9968354430379747,0.9968354430379747,0.9968454258675079,1.0,0.9981032623886914,0.0015486840645161878,0.9809976957835832,0.9752345495160089,0.9509754281459419,0.9736484034833092,0.97575,0.9713212153857687,0.01046832797454373,1,0.9946059111465418,0.9892252150108531,0.989097476559528,0.9906728271895309,0.9931513127741767,0.9913505485361261,0.0021859926676613796,0.8852287003500273,0.8862201060317005,0.6974382392662754,0.8900210976840727,0.9019365976443291,0.852168948195281,0.07759333090003528,1,0.962922524088282,0.8892067198166341,0.8866285522510312,0.9110920119864957,0.9290925293136704,0.9157884674912227,0.028204836510176162,Random Forest | Undersampling,,,,
0.19276247024536133,0.0026627403203385,0.029285573959350587,0.0006892976371883412,,3.0,"ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)","{'model__max_depth': None, 'model__min_samples_leaf': 3, 'prep': ColumnTransformer(transformers=[('numeric', 'passthrough',
                                 ['call_failure', 'subscription_length',
                                  'charge_amount', 'seconds_of_use',
                                  'frequency_of_use', 'frequency_of_sms',
                                  'distinct_called_numbers', 'age',
                                  'customer_value']),
                                ('binary', 'passthrough',
                                 ['complains', 'tariff_plan', 'status'])],
                  verbose_feature_names_out=False)}",0.7549019607843137,0.7281553398058253,0.6666666666666666,0.6919431279620853,0.7336683417085427,0.7150670873854866,0.031564044030142846,4,0.7637698898408812,0.7548543689320388,0.7803030303030303,0.7804265997490589,0.8099606815203145,0.7778629140690648,0.01881913817407325,0.616,0.5905511811023622,0.5390625,0.5488721804511278,0.6134453781512605,0.58158624794095,0.032119028272355826,4,0.6227544910179641,0.6122047244094488,0.6491596638655462,0.6479166666666667,0.6897321428571429,0.6443535377633538,0.02681446459030502,0.9746835443037974,0.9493670886075949,0.8734177215189873,0.9358974358974359,0.9125,0.9291731580655631,0.03438275411606342,4,0.9873417721518988,0.9841772151898734,0.9778481012658228,0.9810725552050473,0.9809523809523809,0.9822784049530047,0.0032274811148017865,0.9765688122811743,0.9729113924050633,0.9494713328369323,0.9682510885341075,0.9718235294117648,0.9678052310938086,0.009543066321542101,3,0.988291698020429,0.9832364261578511,0.9835590356772562,0.9867890596842454,0.9888636342378241,0.9861479707555212,0.0023478103217103425,0.8811576145755595,0.86716580046538,0.7125701062765518,0.868274628415918,0.8900849517801298,0.8438506203027079,0.06618780611282185,3,0.9400458676096253,0.9036260556327069,0.8559849482740521,0.923381859349005,0.9319576999995904,0.9109992861729961,0.03005737521740766,Random Forest | Undersampling,,,,
