k,inercia,silhueta
1,23473.740564163665,
2,17087.843716901734,0.30422390595090726
3,13872.260091784374,0.30606359423735535
4,12467.820068364683,0.2038573753212334
5,11173.619256137998,0.2649121668564074
6,10031.241418847847,0.2346430526547829
7,9045.297411331117,0.253353477222657
8,8333.196149425361,0.25143197844735826
9,7658.439753129189,0.25307120187728543
10,7196.789174874343,0.25101806796488585
